name,team,reason
George Hemmings,Aston Villa,no transfer value
Ryan McAidoo,Man City,no transfer value
Tyler Fletcher,Man United,no transfer value
Shea Lacey,Man United,no transfer value
Lewis Hall,Newcastle,implausible age
Leo Shahar,Newcastle,no transfer value
Anis Mehmeti,Ipswich Town,no transfer value
Illan Meslier,Arsenal,unmatched name
Ezri Konsa,Arsenal,unmatched name
Bruno Guimarães,Arsenal,unmatched name
Christos Tzolis,Arsenal,unmatched name
Zion Suzuki,Aston Villa,unmatched name
Aaron Wan-Bissaka,Aston Villa,unmatched name
Taylor Harwood-Bellis,Aston Villa,unmatched name
Matteo Ruggeri,Aston Villa,unmatched name
Modou Keba Cisse,Aston Villa,unmatched name
Leon Goretzka,Aston Villa,unmatched name
João Gomes,Aston Villa,unmatched name
Johan Manzambi,Aston Villa,unmatched name
Leon Bailey,Aston Villa,unmatched name
Tammy Abraham,Aston Villa,unmatched name
Nicolas Jackson,Aston Villa,unmatched name
Alejandro Garnacho,Aston Villa,unmatched name
Ibrahim M'Baye,Aston Villa,unmatched name
Brian Madjo,Aston Villa,unmatched name
Emiliano Martínez,Chelsea,unmatched name
Mike Penders,Chelsea,unmatched name
Maxence Lacroix,Chelsea,unmatched name
Pep Chavarría,Chelsea,unmatched name
Marco Palestra,Chelsea,unmatched name
Aaron Anselmino,Chelsea,unmatched name
Jordan Henderson,Chelsea,unmatched name
Morgan Rogers,Chelsea,unmatched name
Valentin Barco,Chelsea,unmatched name
Ray Paez,Chelsea,unmatched name
Danny Welbeck,Chelsea,unmatched name
Emanuel Emegha,Chelsea,unmatched name
Geovany Quenda,Chelsea,unmatched name
Ainsley Maitland-Niles,Everton,unmatched name
Christian Nørgaard,Everton,unmatched name
Hayden Hackney,Everton,unmatched name
Brennan Johnson,Everton,unmatched name
Tyrique George,Everton,unmatched name
Alex Borto,Fulham,unmatched name
David Affengruber,Fulham,unmatched name
Luc De Fougerolles,Fulham,unmatched name
Hugo Larsson,Fulham,unmatched name
Shea Charles,Fulham,unmatched name
César Palacios,Fulham,unmatched name
Manuel Angel,Fulham,unmatched name
Kevin Santos,Fulham,unmatched name
Oscar Bobb,Fulham,unmatched name
Gonzalo García,Fulham,unmatched name
Vítězslav Jaroš,Liverpool,unmatched name
Kostas Tsimikas,Liverpool,unmatched name
Ronald Araújo,Liverpool,unmatched name
Jeremy Jacquet,Liverpool,unmatched name
Bradley Barcola,Liverpool,unmatched name
Víctor Muñoz,Liverpool,unmatched name
Géronimo Rulli,Man City,unmatched name
Josh Wilson-Esbrand,Man City,unmatched name
Vitor Reis,Man City,unmatched name
Enzo Fernández,Man City,unmatched name
Elliot Anderson,Man City,unmatched name
Claudio Echeverri,Man City,unmatched name
Ayyoub Bouaddi,Man City,unmatched name
Iliman Ndiaye,Man City,unmatched name
Allan,Man City,unmatched name
Jeremy Monga,Man City,unmatched name
Karl Darlow,Man United,unmatched name
Senne Lammens,Man United,unmatched name
Dermot Mee,Man United,unmatched name
Harry Amass,Man United,unmatched name
Youri Tielemans,Man United,unmatched name
Andrey Santos,Man United,unmatched name
Carlos Baleba,Man United,unmatched name
Marcus Rashford,Man United,unmatched name
Lukáš Horníček,Newcastle,unmatched name
Ewen Jaouen,Newcastle,unmatched name
Amar Dedić,Newcastle,unmatched name
Nico Gonzalez,Newcastle,unmatched name
Sean Steur,Newcastle,unmatched name
Aladji Bamba,Newcastle,unmatched name
Matias Fernandez-Pardo,Newcastle,unmatched name
Bazoumana Touré,Newcastle,unmatched name
Thomas Meunier,Sunderland,unmatched name
Kevin Danso,Sunderland,unmatched name
Aji Alese,Sunderland,unmatched name
Dayann Methalie,Sunderland,unmatched name
Alan Browne,Sunderland,unmatched name
Jules Ahoka,Sunderland,unmatched name
Malick Fofana,Sunderland,unmatched name
Nilson Angulo,Sunderland,unmatched name
Juan Angulo,Sunderland,unmatched name
Martin Dúbravka,Tottenham,unmatched name
Andrew Robertson,Tottenham,unmatched name
Tosin Adarabioyo,Tottenham,unmatched name
Marcos Senesi,Tottenham,unmatched name
Jan Paul van Hecke,Tottenham,unmatched name
Sandro Tonali,Tottenham,unmatched name
Xavi Simons,Tottenham,unmatched name
Mateus Fernandes,Tottenham,unmatched name
Omar Marmoush,Tottenham,unmatched name
Mykhailo Mudryk,Tottenham,unmatched name
Sávio,Tottenham,unmatched name
Jack Butland,Hull City,unmatched name
Dillon Phillips,Hull City,unmatched name
