name,club,position,age,goals,assists,transfer_value,log_transfer_value
Kepa Arrizabalaga,Arsenal,Goalkeeper,31,0,0,5000000.0,15.424948670398354
David Raya,Arsenal,Goalkeeper,30,0,0,30000000.0,17.216707972959764
Ben White,Arsenal,Defence,28,0,0,30000000.0,17.216707972959764
William Saliba,Arsenal,Defence,25,0,0,100000000.0,18.420680753952364
Jurrien Timber,Arsenal,Defence,25,0,0,70000000.0,18.064005814299346
Piero Hincapié,Arsenal,Defence,24,0,0,50000000.0,17.72753358339242
Riccardo Calafiori,Arsenal,Defence,24,0,0,55000000.0,17.822843761378564
Cristhian Mosquera,Arsenal,Defence,22,0,0,40000000.0,17.50439003707821
Myles Lewis-Skelly,Arsenal,Defence,19,0,0,45000000.0,17.622173069956816
Eberechi Eze,Arsenal,Midfield,28,0,0,65000000.0,17.989897843244528
Martin Ødegaard,Arsenal,Midfield,27,1,0,65000000.0,17.989897843244528
Mikel Merino,Arsenal,Midfield,30,0,0,25000000.0,17.034386422832473
Declan Rice,Arsenal,Midfield,27,0,0,120000000.0,18.603002309079653
Martín Zubimendi,Arsenal,Midfield,27,0,0,75000000.0,18.132998684833918
Kai Havertz,Arsenal,Offence,27,1,0,55000000.0,17.822843761378564
Viktor Gyökeres,Arsenal,Offence,28,0,0,65000000.0,17.989897843244528
Bukayo Saka,Arsenal,Offence,24,2,0,110000000.0,18.5159909328476
Noni Madueke,Arsenal,Offence,24,0,0,50000000.0,17.72753358339242
Max Dowman,Arsenal,Offence,16,0,0,30000000.0,17.216707972959764
Marco Bizot,Aston Villa,Goalkeeper,35,0,0,1500000.0,14.220976332738882
Tyrone Mings,Aston Villa,Defence,33,0,0,3000000.0,14.914123179965662
Matty Cash,Aston Villa,Defence,29,0,0,22000000.0,16.906553056777135
Pau Torres,Aston Villa,Defence,29,0,0,20000000.0,16.811242881518265
Ian Maatsen,Aston Villa,Defence,24,0,0,30000000.0,17.216707972959764
Ross Barkley,Aston Villa,Midfield,32,0,0,4000000.0,15.201805169084134
Boubacar Kamara,Aston Villa,Midfield,26,0,0,40000000.0,17.50439003707821
Emiliano Buendía,Aston Villa,Midfield,29,0,0,16000000.0,16.588099342704055
